0	the system as described above has its greatest application in an arrayed [E11] configuration [E12] of antenna [E21] elements [E22]	12	whole	component	2
1	the [E11] child [E12] was carefully wrapped and bound into the [E21] cradle [E22] by means of a cord	0	other	other	0
2	the [E11] author [E12] of a keygen uses a [E21] disassembler [E22] to look at the raw assembly code	6	agency	instrument	2
3	a misty [E11] ridge [E12] uprises from the [E21] surge [E22]	0	other	other	0
4	the [E11] student [E12] [E21] association [E22] is the voice of the undergraduate student population of the state university of new york at buffalo	15	member	collection	1
5	this is the sprawling [E11] complex [E12] that is peru largest [E21] producer [E22] of silver	0	other	other	0
6	the current view is that the chronic [E11] inflammation [E12] in the distal part of the stomach caused by helicobacter pylori [E21] infection [E22] results in an increased acid production from the non - infected upper corpus region of the stomach	10	effect	cause	2
7	[E11] people [E12] have been moving back into [E21] downtown [E22]	7	entity	destination	1
8	the [E11] lawsonite [E12] was contained in a [E21] platinum crucible [E22] and the counter - weight was a plastic crucible with metal pieces	17	content	container	1
9	the solute was placed inside a beaker and 5 ml of the [E11] solvent [E12] was pipetted into a 25 ml glass [E21] flask [E22] for each trial	7	entity	destination	1
10	the fifty [E11] essays [E12] collected in this [E21] volume [E22] testify to most of the prominent themes from professor quispel scholarly career	15	member	collection	1
11	their [E11] composer [E12] has sunk into [E21] oblivion [E22]	0	other	other	0
12	the pulitzer committee issues an official [E11] citation [E12] explaining the [E21] reasons [E22] for the award	1	message	topic	1
13	the [E11] burst [E12] has been caused by water hammer [E21] pressure [E22]	10	effect	cause	2
14	even commercial [E11] networks [E12] have moved into [E21] high - definition broadcast [E22]	6	agency	instrument	2
15	it was a friendly [E11] call [E12] to remind them about the [E21] bill [E22] and make sure they have a copy of the invoice	1	message	topic	1
16	texas - born [E11] virtuoso [E12] finds harmony sophistication in appalachian [E21] instrument [E22]	6	agency	instrument	2
17	the [E11] factory [E12] products have included flower pots finnish rooster - whistles pans [E21] trays [E22] tea pots ash trays and air moisturisers	4	producer	product	2
